name	midi	time	velocity	duration
D#5	75	0	0.157480315	0.078125
D#4	63	0.0203125	0.173228346	0.05
D#5	75	0.25	0.251968504	0.053125
D#4	63	0.25625	0.251968504	0.04921875
D#5	75	0.4984375	0.31496063	0.0484375
D#4	63	0.50625	0.25984252	0.0453125
D#6	87	0.7296875	0.267716535	0.053125
D#7	99	0.734375	0.283464567	0.046875
D#7	99	0.9734375	0.346456693	0.04375
D#6	87	0.975	0.25984252	0.05
D#6	87	1.2203125	0.275590551	0.0625
D#7	99	1.228125	0.299212598	0.0703125
D#5	75	1.475	0.291338583	0.075
D#4	63	1.484375	0.251968504	0.0609375
D#5	75	1.725	0.228346457	0.0625
D#4	63	1.740625	0.157480315	0.05625
D#5	75	1.990625	0.181102362	0.075
D#4	63	2.0015625	0.133858268	0.0578125
D#7	99	2.234375	0.25984252	0.059375
D#6	87	2.240625	0.181102362	0.0625
D#6	87	2.46875	0.228346457	0.07265625
D#7	99	2.46875	0.307086614	0.06875
D#6	87	2.7234375	0.220472441	0.084375
D#7	99	2.7234375	0.291338583	0.0734375
D#5	75	2.9515625	0.133858268	0.0890625
D#4	63	2.9671875	0.141732283	0.0625
D#7	99	3.2	0.25984252	0.05625
D#6	87	3.209375	0.157480315	0.0625
D#6	87	3.45625	0.173228346	0.0734375
D#7	99	3.46875	0.204724409	0.0703125
D#5	75	3.7359375	0.118110236	0.0921875
D#4	63	3.765625	0.086614173	0.05625
D#7	99	4.015625	0.173228346	0.065625
D#6	87	4.0234375	0.157480315	0.0625
D#7	99	4.46875	0.118110236	0.1171875
D#6	87	4.475	0.05511811	0.059375
D#5	75	6.0125	0.307086614	0.0640625
D#6	87	6.15	0.236220472	0.046875
D#6	87	6.2609375	0.330708661	0.09375
D#7	99	6.3796875	0.42519685	0.0390625
D#6	87	6.4828125	0.503937008	0.071875
D#7	99	6.6	0.236220472	0.05
C#6	85	6.6890625	0.511811024	0.040625
D#7	99	6.8015625	0.519685039	0.03125
G#3	56	6.83515625	0.25984252	0.05390625
D#4	63	6.89140625	0.25984252	0.05703125
B5	83	6.9296875	0.692913386	0.0296875
B4	71	6.96875	0.196850394	0.0734375
D#7	99	7.03125	0.598425197	0.028125
B5	83	7.14453125	0.732283465	0.02734375
D#7	99	7.2484375	0.535433071	0.028125
A#5	82	7.35	0.566929134	0.0328125
B3	59	7.421875	0.25984252	0.0453125
D#7	99	7.4625	0.480314961	0.0296875
G#4	68	7.49375	0.283464567	0.059375
G#5	80	7.565625	0.637795276	0.0328125
D#5	75	7.56875	0.433070866	0.0609375
D#7	99	7.684375	0.637795276	0.025
G5	79	7.7875	0.653543307	0.0296875
D#7	99	7.8921875	0.590551181	0.0265625
G#5	80	7.9859375	0.692913386	0.0328125
D#4	63	8.04375	0.291338583	0.0546875
A#4	70	8.096875	0.291338583	0.046875
D#7	99	8.1015625	0.606299213	0.025
G5	79	8.19375	0.496062992	0.0375
A#5	82	8.19609375	0.637795276	0.03203125
D#7	99	8.309375	0.559055118	0.0265625
D#5	75	8.4390625	0.527559055	0.028125
D#7	99	8.5546875	0.653543307	0.0234375
D#5	75	8.6734375	0.637795276	0.0796875
D#6	87	8.771875	0.566929134	0.034375
G4	67	8.865625	0.275590551	0.1484375
A#4	70	8.871875	0.31496063	0.13125
E5	76	8.875	0.637795276	0.071875
D#6	87	8.9765625	0.417322835	0.04375
D#5	75	9.065625	0.637795276	0.0828125
D#6	87	9.165625	0.472440945	0.034375
C#5	73	9.259375	0.614173228	0.0515625
D#6	87	9.3609375	0.440944882	0.034375
B4	71	9.459375	0.653543307	0.0296875
G#4	68	9.4671875	0.307086614	0.1125
D#6	87	9.5609375	0.598425197	0.0296875
B4	71	9.6609375	0.669291339	0.03125
D#6	87	9.7609375	0.590551181	0.0265625
A#4	70	9.8609375	0.543307087	0.0359375
D#6	87	9.9671875	0.37007874	0.040625
B3	59	10.0015625	0.251968504	0.165625
D4	62	10.0296875	0.181102362	0.1578125
G#4	68	10.0609375	0.57480315	0.03125
F4	65	10.075	0.283464567	0.046875
D#6	87	10.175	0.503937008	0.03125
G4	67	10.278125	0.433070866	0.04375
D#6	87	10.3765625	0.503937008	0.03125
G#4	68	10.4734375	0.582677165	0.034375
D#3	51	10.578125	0.346456693	0.0640625
D#6	87	10.5875	0.614173228	0.028125
A#4	70	10.7203125	0.519685039	0.05
G4	67	10.7296875	0.291338583	0.0578125
D#6	87	10.853125	0.480314961	0.03125
D#4	63	10.971875	0.409448819	0.0390625
D#5	75	11.06875	0.377952756	0.0390625
D#5	75	11.1859375	0.409448819	0.04375
D#6	87	11.3	0.401574803	0.034375
D#6	87	11.415625	0.37007874	0.0734375
D#7	99	11.525	0.464566929	0.0328125
D#6	87	11.6265625	0.614173228	0.0734375
D#7	99	11.734375	0.440944882	0.034375
C#6	85	11.81875	0.692913386	0.0609375
D#7	99	11.928125	0.559055118	0.028125
G#3	56	11.934375	0.385826772	0.0390625
D#4	63	11.9984375	0.31496063	0.04375
B5	83	12.034375	0.74015748	0.028125
B4	71	12.0515625	0.472440945	0.04375
D#7	99	12.1390625	0.566929134	0.0265625
B5	83	12.2375	0.74015748	0.028125
D#7	99	12.3421875	0.637795276	0.0265625
A#5	82	12.4453125	0.62992126	0.0359375
B3	59	12.53125	0.330708661	0.040625
D#7	99	12.5515625	0.527559055	0.0296875
G#4	68	12.6109375	0.283464567	0.046875
G#5	80	12.65078125	0.62992126	0.03046875
